server_location,latency_min,latency_avg,type,iperf_run_number,distance,throughput_rolled3_avg,throughput_avg,throughput_max,throughput_90tile,throughput_95tile,throughput_median
west,90.9,132.22000000000003,tcp1d,64481,1583,272.45242768084864,276.50530441110277,319.79145682825947,311.7812280558762,315.30885891746254,284.80106687590217
central,24.7,105.14333333333333,tcp1d,64487,234,525.2892686541899,544.5047747093946,610.6483879987944,609.7633356842641,609.8177079499635,596.0265441037677
central,24.7,105.14333333333333,tcp1d,64491,234,491.6148673523488,507.5258186099423,604.5982873733207,599.2739225175743,603.2667271610458,538.4217337028163
north-central,19.9,71.53666666666666,tcp1d,64492,352,668.6206660436318,691.7892719481357,809.4930310455437,796.0341406774137,803.7810639148556,735.8230631242295
north-central,19.9,71.53666666666666,tcp1d,64495,352,708.4285720533694,732.9125558293231,832.8704635617207,826.6393784551238,829.8626075768218,791.1499792141449
south-central,93.2,133.82333333333335,tcp1d,64498,1112,395.87428359645577,401.0869575273249,429.778601475504,425.1797098802874,427.5674250944254,413.7372815606716
south-central,93.2,133.82333333333335,tcp1d,64500,1112,311.7383091861094,324.7209348770173,413.12932096222374,410.15381304069274,412.02944978014943,389.1034505788565
west-central,85.3,127.40333333333334,tcp1d,64511,903,387.3992435660524,394.6941342104237,431.9947689443114,425.93761674609607,428.392504697088,409.99128238589856
west-central,85.3,127.40333333333334,tcp1d,64508,903,389.8517106351988,395.0954536100349,429.0153290134764,421.17879343457747,422.3095165711808,401.1101282568765
west2,58.4,119.10999999999999,tcp1d,64483,1278,249.00664888458653,257.61838980351365,352.7467886739527,326.69546968371793,338.5915343669165,285.86699997183524
west2,58.4,119.10999999999999,tcp1d,64484,1278,277.72304840610576,282.1441633016483,358.2971135301176,350.2288052528612,350.4236423682928,276.21105074502145
east,87.5,141.90333333333334,tcp1c,64514,871,1474.2691494750782,1494.7217806512372,1611.605160469883,1599.9982021152823,1601.3627914582285,1567.4017439647278
east,87.5,141.90333333333334,tcp1c,64515,871,1337.742714347424,1387.632497050869,1615.4152368351376,1603.700004680016,1606.6155114512553,1567.346058390139
east2,43.3,124.83548387096774,tcp1c,64516,962,1258.3497493982338,1287.1310340352513,1454.1762094062908,1415.1745518737837,1429.1925988594885,1362.8357510119445
east2,43.3,124.83548387096774,tcp1c,64517,962,1113.8871017580868,1159.1360950548465,1445.3931875764456,1430.6960418913561,1444.1274972081753,1397.9450394412559
west,90.9,132.22000000000003,tcp1c,64518,1583,869.2158952327842,896.5969648397112,987.4484261075544,979.2528661161834,980.1441199397183,963.472578082993
west,90.9,132.22000000000003,tcp1c,64519,1583,864.4911101806814,886.7827768131231,968.6317937361347,957.3463268302407,965.5553922797075,937.2717079682149
west2,58.4,119.10999999999999,tcp1c,64520,1278,721.644697129559,754.0483610017909,995.4980979537754,988.9663904114274,990.5517511215221,952.2066274521438
west2,58.4,119.10999999999999,tcp1c,64521,1278,786.4779677929487,818.94009981646,1015.0216959550938,1013.1154589305305,1013.9735797232485,987.6813206014017
central,24.7,105.14333333333333,tcp1c,64522,234,1679.2289276405484,1718.6606127731832,1926.374747719583,1878.1160885094491,1884.8889835737723,1798.2596749200488
central,24.7,105.14333333333333,tcp1c,64523,234,1433.374533357904,1481.629058416212,1670.2488177293735,1657.5259019420203,1661.245623182228,1612.2800292047023
north-central,19.9,71.53666666666666,tcp1c,64527,352,1100.291018039845,1130.3972363952626,1980.9297995060099,1915.8615263129095,1950.958946263308,1179.9442479805512
north-central,19.9,71.53666666666666,tcp1c,64529,352,1691.8546248114621,1755.0372567991842,1981.915995682467,1973.319438123997,1978.4179193536447,1946.3544211312246
