nr_ssRsrp,hardware_power_full,nrStatus,downlink_Mbps,LTE_RSRP,nr_ssSinr,hardware_power,software_power,Timestamp,uplink_Mbps
-78,5939.07618,CONNECTED,1.174323,-79,10,3600.0761799999996,5356.7032,421.59,79.206239
-76,5701.11888,CONNECTED,1.1277760000000001,-70,4,3362.1188799999995,5793.84,538.696,77.209412
-82,5710.1159,CONNECTED,137.30313999999998,-69,3,3389.1159,5306.1998,940.549,0.38101999999999997
-86,5818.27956,CONNECTED,0.802208,-71,19,3486.54826,5813.1216,319.524,76.403726
-75,5714.2006200000005,CONNECTED,1.304087,-71,9,3375.20062,5372.9324,574.722,74.132305
-77,5837.53232,CONNECTED,1.1033469999999999,-80,8,3498.5323200000003,6057.9054,465.64599999999996,78.810687
-76,5760.83286,CONNECTED,0.9904959999999999,-75,8,3421.83286,5500.9396,461.64099999999996,71.411041
-78,5895.283179999999,CONNECTED,1.29168,-74,3,3556.28318,5868.0585,517.665,75.533265
-77,5837.4191200000005,CONNECTED,1.343108,-70,4,3498.4191200000005,5915.7021,573.72,76.591092
-85,5835.8423,CONNECTED,328.13706,-73,4,3514.8423,5172.5176,372.80800000000005,0.490097
-76,5873.01742,CONNECTED,1.228423,-81,6,3378.1749670000004,5655.2068,589.883,72.92958399999999
-80,5734.67048,CONNECTED,324.51275699999997,-74,9,3413.6704799999998,5709.1626,398.848,0.46346499999999996
-87,5753.95352,CONNECTED,309.02545200000003,-85,6,3414.9535200000005,5606.7532,370.644,0.48863500000000004
-80,5743.6319,CONNECTED,367.427547,-73,11,3422.6319,5834.4605,404.86400000000003,0.556244
-77,5736.03006,CONNECTED,1.0508979999999999,-75,9,3404.29876,5791.6572,565.8330000000001,69.59297600000001
-75,5824.37638,CONNECTED,1.1233440000000001,-79,10,3329.533927,5310.3872,576.872,71.593183
-73,5720.1428,CONNECTED,1.251789,-71,8,3225.300347,5350.7984,673.967,71.336202
-85,5796.03788,CONNECTED,270.677532,-69,4,3475.03788,5270.0616,371.805,0.43549
-79,5708.99556,CONNECTED,1.1380370000000002,-81,8,3369.9955600000003,5912.47,438.61300000000006,78.903658
-80,5692.52936,CONNECTED,1.069952,-81,4,3353.52936,5394.876,475.61,76.093763
-77,5793.003720000001,CONNECTED,1.036672,-72,-1,3454.00372,5811.6672,532.691,69.091514
-75,5772.36014,CONNECTED,0.749657,-82,12,3527.7988560000003,5580.8654,397.699,66.458262
-85,5867.8819,CONNECTED,0.921024,-77,1,3383.8400130000005,5121.72,91.238,54.800926000000004
-78,5810.45748,CONNECTED,1.152505,-80,7,3471.4574799999996,5561.715,467.648,77.112571
-77,5820.1805,CONNECTED,0.9280010000000001,-63,8,3481.1805,5090.2426,968.2510000000001,71.055646
-77,5815.6639,CONNECTED,0.930176,-76,-1,3476.6639,5537.5740000000005,526.687,69.323522
-75,5849.25932,CONNECTED,1.3115379999999999,-78,9,3510.25932,5463.0146,534.684,76.431519
-76,5705.5465,CONNECTED,1.07884,-80,8,3210.7040469999997,5219.4432,578.874,74.612648
-88,5693.200879999999,CONNECTED,348.82015099999995,-71,2,3354.20088,5334.3144,343.603,0.534004
