parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_start,_end,_seconds,bits_per_second,rtt,iperf_type,Throughput,run_number,iperf_did,seq_no
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:54-06:00,23:45:54,103.0,104.0,1.0,99600000.0,-1,parallel-merged,99.6,77,S20UPM,103
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:55-06:00,23:45:55,104.0,105.0,1.0,71300000.0,-1,parallel-merged,71.3,77,S20UPM,104
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:56-06:00,23:45:56,105.0,106.0,1.0,112000000.0,-1,parallel-merged,112.0,77,S20UPM,105
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:57-06:00,23:45:57,106.0,107.0,1.0,103000000.0,-1,parallel-merged,103.0,77,S20UPM,106
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:58-06:00,23:45:58,107.0,108.0,1.0,120000000.0,-1,parallel-merged,120.0,77,S20UPM,107
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:59-06:00,23:45:59,108.0,109.0,1.0,101000000.0,-1,parallel-merged,101.0,77,S20UPM,108
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:46:00-06:00,23:46:00,109.0,110.0,1.0,65000000.0,-1,parallel-merged,65.0,77,S20UPM,109
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:46:01-06:00,23:46:01,110.0,111.0,1.0,101000000.0,-1,parallel-merged,101.0,77,S20UPM,110
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:46:02-06:00,23:46:02,111.0,112.0,1.0,115000000.0,-1,parallel-merged,115.0,77,S20UPM,111
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:46:03-06:00,23:46:03,112.0,113.0,1.0,92300000.0,-1,parallel-merged,92.3,77,S20UPM,112
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:46:04-06:00,23:46:04,113.0,114.0,1.0,74400000.0,-1,parallel-merged,74.4,77,S20UPM,113
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:46:05-06:00,23:46:05,114.0,115.0,1.0,96500000.0,-1,parallel-merged,96.5,77,S20UPM,114
